vehicle_id,vehicle_number,lap,lap_tire_stress,total_g,avg_speed,lap_time_est,dist,stress_delta,time_delta,stress_delta_pct,stress_delta_safe,roi_efficiency,roi_category
GR86-037-003,3,9,6163.448657165391,0.6359909323015858,107.45683863228157,13.05210846640535,363.0,-4585.315702901089,2.7731803314751566,-42.659002926292914,-4585.315702901089,-0.6047959423427681,TERRIBLE
GR86-037-003,3,10,10608.66439624449,0.7914950279391494,135.44174997393299,10.376979626382793,369.0,-140.09996382198915,0.09805149145259939,-1.303405295054051,-140.09996382198915,-0.6998680711808285,TERRIBLE
GR86-037-003,3,11,10742.485889879523,0.7956883579224412,135.34792744414023,10.376167635658788,369.0,-6.278470186956838,0.09723950072859466,-0.05841108779240191,-6.278470186956838,-15.487769764456978,TERRIBLE
GR86-037-003,3,12,10748.76436006648,0.8017656334025437,135.3343302796478,10.278928134930194,365.0,0.0,0.0,0.0,1.0,-0.0,WASTEFUL
GR86-037-003,3,13,10208.463062957188,0.7801351192996864,134.76367801088298,10.42071295907961,368.0,-540.3012971092921,0.14178482414941662,-5.026636355678286,-540.3012971092921,-0.26241807100591946,WASTEFUL
GR86-037-003,3,14,10396.596632397952,0.7923132085352192,134.53435767539992,10.344877843302307,365.0,-352.16772766852773,0.06594970837211278,-3.276355456975983,-352.16772766852773,-0.18726789308243172,WASTEFUL
GR86-037-003,3,15,10312.306388839876,0.7872136394930792,134.7185341068304,10.365858281023533,365.0,-436.45797122660406,0.08693014609333893,-4.060540882709467,-436.45797122660406,-0.1991718603489677,WASTEFUL
GR86-037-003,3,16,10501.970432223117,0.7920981942562262,135.19559163821953,10.381428314012721,368.0,-246.79392784336233,0.10250017908252751,-2.2960213804690377,-246.79392784336233,-0.4153269895180864,WASTEFUL
GR86-037-003,3,17,9756.16973496913,0.772163114791612,133.18422954331848,10.36743847739107,362.0,-992.5946250973502,0.08851034246087686,-9.23449981641621,-992.5946250973502,-0.08917068481223749,WASTEFUL
GR86-037-003,3,18,10633.896571006171,0.7927816315393913,135.72939089980426,10.32253682685328,367.0,-114.8677890603085,0.043608691923086695,-1.0686604079540734,-114.8677890603085,-0.3796424766231988,WASTEFUL
GR86-037-003,3,19,10782.001859519392,0.7988473036855859,135.01003691202922,10.438517316017185,369.0,33.23749945291274,0.15958918108699116,0.3092215843562057,33.23749945291274,-4.801479765741092,TERRIBLE
